vess,vess_fixed
1,0.824338744
2,1.296958871
3,1.111987833
4,-0.092804602
5,-0.314920421
6,-0.05617739
7,1.562238519
8,-0.085160486
9,0.590128274
10,-0.330561747
11,0.394234415
12,0.622953472
13,1.467521927
14,2.071557136
15,-0.148909656
16,2.005978186
17,-0.938698471
18,-0.286797627
19,0.150718962
20,1.70636456
21,0.117600182
22,-0.063399853
23,0.651641655
24,0.014835474
25,0.141153532
26,0.246437925
27,1.720868643
28,1.824968139
29,0.081315324
30,0.379670931
31,1.996948795
32,1.349389773
33,0.578802321
34,1.949145328
35,-0.052023096
36,2.461597729
37,0.633376159
38,-0.106589434
39,0.136733363
40,0.44756754
41,-0.115559671
42,-0.152090705
43,0.568135672
44,0.55866165
45,0.788783001
46,0.394985263
47,1.37404909
48,-0.25457284
49,1.95790358
50,0.197894348
51,1.200695609
52,1.905255307
53,-0.908389808
54,-0.01599694
55,-0.72609818
56,1.186378443
57,0.872027231
58,0.500155336
59,-0.619033445
60,1.572520294
61,0.010258338
62,-0.004926761
63,-1.280842504
64,0.132518117
65,-1.162294627
66,-0.414154101
67,0.12992785
68,1.177187022
69,1.058241838
70,0.225220826
71,0.386050322
72,1.987161966
73,-0.760851916
74,0.452190872
75,0.250486451
76,0.424473652
77,0.329616752
78,0.565526498
79,-0.742889931
80,0.25602829
81,0.396071322
82,0.310355088
83,0.758339841
84,0.3183059
85,0.387614179
86,1.86842914
87,0.184953898
88,0.919189286
89,-0.046145541
90,0.269187492
91,-0.06986416
92,0.205734664
93,0.334298528
94,0.243096559
95,0.290758844
96,-0.641663584
97,0.714043922
98,1.372037172
99,1.264301952
100,2.079421606
101,1.121280438
102,2.261186427
103,1.99903388
104,1.908599955
105,1.911042306
106,1.901582631
107,1.08559966
108,2.241581787
109,1.296677744
110,0.357849033
111,1.29927138
112,1.688492046
113,1.810211883
114,1.652571584
115,1.446869552
116,1.727750353
117,0.155756815
118,1.132082154
119,0.223241597
120,2.253523218
121,2.138709488
122,0.680916397
123,1.957935783
124,2.265938271
125,1.85926878
126,1.963916008
127,1.799520081
128,1.415025438
129,2.331131445
130,2.453117266
131,2.180813206
132,1.952813304
133,1.793742324
134,2.278644361
135,2.507938337
136,2.31473735
137,1.80849412
138,0.040063857
139,0.276438179
140,0.860899669
141,0.53842322
142,0.531717633
143,-0.391210057
144,0.912091615
145,0.666343996
146,-0.716494583
147,0.628562212
148,0.906613574
149,-0.284437657
150,0.256589262
151,0.269588466
152,0.199328282
153,0.60500008
154,0.186767361
155,0.762523906
156,0.721567353
157,0.109876266
158,0.667097068
159,0.633554343
160,-0.209237581
161,0.889559573
162,-0.209485467
163,0.276204416
164,0.032151182
165,-0.094761498
166,0.3894637
167,-0.234423563
168,1.408552128
169,1.007558327
170,0.636957873
171,0.114982489
172,0.100262943
173,0.659698259
174,1.900753498
175,1.908034669
176,1.933507987
177,-0.044203412
178,0.426080466
179,1.257744398
180,1.126727609
181,0.909195432
182,0.730798092
183,1.473979579
184,1.644610974
185,0.811752543
186,-0.334044026
187,-0.110197336
188,0.943150749
189,-0.91675577
190,2.598298963
191,2.346945725
192,0.340496424
193,2.623354146
194,1.839121044
195,0.140422838
196,-0.038160148
197,-0.318042091
198,0.699621782
199,1.37922342
200,-0.386089468
201,1.600741785
202,1.316301574
203,0.469358595
204,0.014695553
205,-0.35956984
206,0.650130924
207,-0.962883418
208,0.145489855
209,1.52230047
210,0.944683336
211,1.371762473
212,1.042056348
213,1.730876217
214,1.648651147
215,1.991371866
216,1.591340831
217,1.388694713
218,1.161221307
219,1.68085872
220,1.704566821
221,0.963339442
222,1.202814538
223,2.326600058
224,2.354869531
225,2.54100482
226,2.055784505
227,0.329413856
228,1.175001519
229,1.79208696
230,1.316714925
231,1.404677968
232,2.620998173
233,1.625970117
234,0.115313696
235,-0.13062071
236,0.24143834
237,1.319939542
238,1.290521235
239,0.000738518
240,-0.320866007
241,1.139498176
242,-0.122654957
243,0.531829086
244,0.292040899
245,-0.076433037
246,0.282871326
247,1.627415818
248,2.209491266
249,0.41741079
250,1.915957154
251,0.9962879
252,0.33531374
253,1.348195138
254,1.023192322
255,0.677967435
256,-0.20549221
257,-0.598301742
258,0.369723058
259,1.467562816
260,1.978973232
261,0.662381437
262,1.603834913
263,2.106223177
264,0.229132472
265,1.93879448
266,2.045909886
267,1.537311884
268,0.628681598
269,0.497699796
270,-0.742244239
271,1.405055113
272,-0.500279317
273,1.970448462
274,0.521342564
275,1.146361348
276,1.286498917
277,1.547047851
278,0.729251874
279,-0.875273773
280,0.338448633
281,-0.445214888
282,0.805159842
283,-0.496113042
284,1.603991618
285,0.341614344
286,0.824240284
287,-0.284657636
288,1.61875548
289,1.530080274
290,0.221526652
291,0.750550892
292,0.733752374
293,0.997837378
294,0.662047497
295,0.303391565
296,-0.617316693
297,0.180052392
298,-0.482735027
299,1.305084736
300,1.351875588
301,1.521364341
302,1.863134541
303,0.786269071
304,0.384320373
305,0.126994493
306,1.683388589
307,2.240751082
308,1.988882448
309,0.082027901
310,-0.169730867
311,1.372817108
312,1.500838423
313,1.254832338
314,1.990600345
315,1.514524727
316,1.710962497
317,1.508347244
318,1.324986857
319,-0.369681984
320,2.200429201
321,0.825421503
322,1.770646346
323,0.052021371
324,-0.33983266
325,0.763732387
326,0.104650601
327,0.402290825
328,-0.303979142
329,-0.328041208
330,-1.194772562
331,0.042903857
332,-1.070034733
333,-0.248219882
334,1.777110059
335,2.161738629
336,2.160830664
337,0.252370396
338,0.029494746
339,0.600497943
340,0.81569644
341,0.947424531
342,1.719904029
343,2.451818481
344,1.614262161
345,1.375564037
346,0.728110653
347,2.298536215
348,1.136710805
349,1.60171986
350,1.220170403
351,1.993748488
352,1.927309062
353,0.803084315
354,2.470237772
355,2.277413446
356,0.793817428
357,1.601556952
358,-0.75012814
359,1.121212678
360,1.859554689
361,0.6749122
362,0.636257107
363,0.287580555
364,0.646865434
365,1.66309075
366,-0.03806171
367,0.979668053
368,0.050456843
369,0.955627152
370,-0.386513637
371,-0.177083747
372,0.191431806
373,0.113187524
374,0.455837081
375,-0.170164906
376,-0.428350237
377,1.689575877
378,0.315721309
379,0.590255718
380,0.955980123
381,0.162262991
382,0.115833349
383,-0.22135587
384,0.3399587
385,1.658114808
386,0.054919871
387,1.361296835
388,2.353458364
389,1.714643676
390,1.32620416
391,0.4247958
392,0.144592722
393,0.340133653
394,2.847006936
395,0.337928618
396,1.127568627
397,1.923705288
398,0.755261806
399,0.49564676
400,0.51179493
401,-0.342688052
402,1.634346225
403,-0.555400581
404,-0.006688607
405,1.894261616
406,-0.253113056
407,1.13368841
408,1.408030036
409,-1.195523702
410,0.178459421
411,0.115443774
412,0.264433176
413,-0.494635142
414,1.054243242
415,-0.43816818
416,-0.859043466
417,1.215190828
418,-0.029989467
419,1.073207671
420,2.02618192
421,1.355522869
422,-0.255059357
423,-0.582319306
424,2.378783932
425,1.017430699
426,-0.547114103
427,-0.802480946
428,2.269674565
429,0.999376977
430,0.107714413
431,-0.22182864
432,-0.701337755
433,0.807507918
434,0.285834403
435,0.939004438
436,0.226943187
437,0.40923439
438,0.872400013
439,0.719031419
