year,GDP_Grwoth_Rate,Inflation_Rate,Unemployment_Rate,GDP,Government Budget,Government Debt,Medical Doctors,Unemployment Rate Grwoth,,,
1970,0.209771574,3.240697065,5.834724771,87.9,-1.1,19.277,1.43,0.395581039,1,-0.508490566,1
1971,1.698413706,2.732206499,6.23030581,99.27,-1.8,20.293,1.5,0.012538227,1,2.205476939,1
1972,1.878743655,4.937683438,6.242844037,113.08,-1.7,22.079,1.55,-0.663272172,1,2.530345912,1
1973,1.218147208,7.46802935,5.579571865,131.32,-1.7,23.98,1.6,-0.19559633,1,3.49082809,1
1974,0.149048223,10.95885744,5.383975535,160.41,-1.4,26.191,1.63,1.543455658,0,-0.30469077,1
1975,1.302791878,10.65416667,6.927431193,173.83,-3.6,28.416,1.69,0.172400611,1,-3.138718557,0
1976,1.118781726,7.515448113,7.099831804,206.58,-3.4,34.62,1.71,0.966697248,0,0.423742139,1
1977,0.938451777,7.939190252,8.066529052,211.61,-4.9,41.517,1.75,0.306559633,1,1.005883123,1
1978,0.829885787,8.945073375,8.373088685,218.63,-5.3,52.396,1.77,-0.870152905,1,0.14124738,1
1979,0.863007614,9.086320755,7.50293578,243.07,-4.3,65.425,1.78,0.012538226,1,0.974606915,1
1980,0.645875635,10.06092767,7.515474006,273.85,-4.6,77.392,1.8,0.086513762,1,2.36084906,1
1981,0.136167513,12.42177673,7.601987768,306.21,-4.3,91.948,1.83,3.465565752,0,-1.58600629,0
1982,-0.85748731,10.83577044,11.06755352,313.51,-7.5,107.622,1.89,0.93159021,0,-4.939622641,0
1983,1.551205584,5.896147799,11.99914373,340.55,-7.7,136.671,1.92,-0.60058104,1,-1.598113208,0
1984,1.431598985,4.298034591,11.39856269,355.37,-8.1,157.252,1.95,-0.88206422,1,-0.397510482,1
1985,1.061738579,3.900524109,10.51649847,364.76,-6.7,194.419,2.01,-0.907140672,1,0.236084906,1
1986,0.073604061,4.136609015,9.609357798,377.44,-5.7,227.808,2.04,-0.759816514,1,0.173532494,1
1987,1.567766497,4.310141509,8.849541284,431.32,-5.1,257.65,2.09,-1.04443425,1,-0.34101153,1
1988,0.76180203,3.969129979,7.805107034,507.35,-4.5,286.667,2.1,-0.299663609,1,0.923152516,1
1989,0.431503807,4.892282495,7.505443425,565.06,-4.4,314.614,2.12,0.579266055,1,-0.13620283,1
1990,-0.344098985,4.756079665,8.08470948,593.93,-4.9,343.757,2.11,2.17287462,0,0.895911949,1
1991,-0.134327411,5.651991614,10.2575841,610.33,-4.6,377.656,2.12,0.9140367,0,-4.130476939,0
1992,0.340418782,1.521514675,11.1716208,592.39,-5.4,409.975,2.13,0.1943425,1,0.356145178,1
1993,0.732360406,1.877659853,11.3659633,577.17,-4.2,448.994,2.15,-0.90400611,1,-1.700013102,0
1994,1.250348985,0.177646751,10.46195719,578.14,-4.6,487.524,2.13,-0.988012236,1,1.886661425,1
1995,0.356979695,2.064308176,9.473944954,604.03,-3.6,524.156,2.11,0.081498471,1,-0.588194444,1
1996,0.632994924,1.476113732,9.555443425,628.55,-1,554.162,2.09,-0.415642202,1,0.227004717,1
1997,1.150063452,1.703118449,9.139801223,654.99,0.3,562.881,2.07,-0.795550458,1,-0.744575472,1
1998,0.932931472,0.958542977,8.344250765,634,0.6,559.922,2.09,-0.650733945,1,0.647720126,1
1999,1.398477157,1.606263103,7.69351682,678.41,1.4,554.143,2.09,-0.863883792,1,1.049266247,1
2000,1.035977157,2.65552935,6.829633028,744.77,1.8,539.885,2.12,0.296529052,1,0.022196017,1
2001,0.310977157,2.677725367,7.12616208,738.98,0.7,519.994,2.1,0.585535168,1,-0.710272537,1
2002,0.932931472,1.96745283,7.711697248,760.65,0.6,511.946,2.11,-0.105948013,1,0.96451782,1
2003,0.369860406,2.93197065,7.605749235,895.54,0.7,505.325,2.1,-0.410626911,1,-1.09971174,0
2004,0.991814721,1.83225891,7.195122324,1026.69,0.1,496.18,2.13,-0.357966361,1,0.41365304,1
2005,0.774682741,2.24591195,6.837155963,1173.11,0.9,494.717,2.16,,,,
