DATE,MKTGDPCAA646NWDB,
1/1/1960,40461721693,
1/1/1961,40934952064,0.011695755
1/1/1962,42227447632,0.031574376
1/1/1963,45029988561,0.066367756
1/1/1964,49377522897,0.096547534
1/1/1965,54515179581,0.10404849
1/1/1966,61088384037,0.120575673
1/1/1967,65668655501,0.074977781
1/1/1968,71829810520,0.093821854
1/1/1969,79148411662,0.101888075
1/1/1970,87896095320,0.110522542
1/1/1971,99271961775,0.129424025
1/1/1972,1.13083E+11,0.139121444
1/1/1973,1.31322E+11,0.161289206
1/1/1974,1.60409E+11,0.221492741
1/1/1975,1.73834E+11,0.083694541
1/1/1976,2.06576E+11,0.1883494
1/1/1977,2.11612E+11,0.024381355
1/1/1978,2.18633E+11,0.033177255
1/1/1979,2.43072E+11,0.111782073
1/1/1980,2.73854E+11,0.126636186
1/1/1981,3.06215E+11,0.118169016
1/1/1982,3.13507E+11,0.023812239
1/1/1983,3.40548E+11,0.086253984
1/1/1984,3.55373E+11,0.043532362
1/1/1985,3.64756E+11,0.026405926
1/1/1986,3.77438E+11,0.034766832
1/1/1987,4.31317E+11,0.142748809
1/1/1988,5.07354E+11,0.17629181
1/1/1989,5.65056E+11,0.113729964
1/1/1990,5.9393E+11,0.051099043
1/1/1991,6.10328E+11,0.0276104
1/1/1992,5.92388E+11,-0.029394832
1/1/1993,5.77171E+11,-0.025687447
1/1/1994,5.78139E+11,0.001678043
1/1/1995,6.04032E+11,0.044785651
1/1/1996,6.28546E+11,0.040585234
1/1/1997,6.54987E+11,0.042066286
1/1/1998,6.34E+11,-0.032041857
1/1/1999,6.78412E+11,0.070050783
1/1/2000,7.44773E+11,0.097818435
1/1/2001,7.38982E+11,-0.007776356
1/1/2002,7.60649E+11,0.029320806
1/1/2003,8.95541E+11,0.177337055
1/1/2004,1.02669E+12,0.146447391
1/1/2005,1.17311E+12,0.142612012
1/1/2006,1.31926E+12,0.124588816
1/1/2007,1.46882E+12,0.113362834
1/1/2008,1.55299E+12,0.057303999
1/1/2009,1.37463E+12,-0.114852371
1/1/2010,1.61734E+12,0.176570483
1/1/2011,1.79333E+12,0.108810081
1/1/2012,1.82837E+12,0.019539024
1/1/2013,1.8466E+12,0.009971163
1/1/2014,1.80575E+12,-0.022120438
1/1/2015,1.55651E+12,-0.138026349
1/1/2016,1.52799E+12,-0.01831925
1/1/2017,1.64927E+12,0.079366047
1/1/2018,1.72533E+12,0.046119647
1/1/2019,1.74202E+12,0.009671112
1/1/2020,1.64542E+12,-0.055448223
1/1/2021,1.99076E+12,0.209878017
